"company","year","debt"
"STX엔진","실적2018",290
"STX엔진","실적2019",248
"STX엔진","실적2020",NA
"STX중공업","실적2017",411
"STX중공업","실적2018",232
"STX중공업","실적2019",231
"STX중공업","실적2020",NA
"SV인베스트먼트","실적2017",45
"SV인베스트먼트","실적2018",14
"SV인베스트먼트","실적2019",12
"SV인베스트먼트","실적2020",NA
"TCC스틸","실적2017",176
"TCC스틸","실적2018",171
"TCC스틸","실적2019",168
"TCC스틸","실적2020",NA
"THE E&M","실적2017",73
"THE E&M","실적2018",169
"THE E&M","실적2019",49
"THE E&M","실적2020",NA
"THE MIDONG","실적2017",5
"THE MIDONG","실적2018",5
"THE MIDONG","실적2019",23
"THE MIDONG","실적2020",NA
"TJ미디어","실적2017",22
"TJ미디어","실적2018",28
"TJ미디어","실적2019",35
"TJ미디어","실적2020",NA
"TPC","실적2017",237
"TPC","실적2018",275
"TPC","실적2019",289
"TPC","실적2020",NA
"TS인베스트먼트","실적2017",49
"TS인베스트먼트","실적2018",54
"TS인베스트먼트","실적2019",36
"TS인베스트먼트","실적2020",NA
"UCI","실적2017",379
"UCI","실적2018",88
"UCI","실적2019",46
"UCI","실적2020",NA
"WI","실적2017",29
"WI","실적2018",88
"WI","실적2019",38
"WI","실적2020",NA
"WISCOM","실적2017",11
"WISCOM","실적2018",9
"WISCOM","실적2019",13
"WISCOM","실적2020",NA
"W홀딩컴퍼니","실적2017",41
"W홀딩컴퍼니","실적2018",71
"W홀딩컴퍼니","실적2019",63
"W홀딩컴퍼니","실적2020",NA
"YBM넷","실적2017",83
"YBM넷","실적2018",83
"YBM넷","실적2019",79
"YBM넷","실적2020",NA
"YG PLUS","실적2017",19
"YG PLUS","실적2018",27
"YG PLUS","실적2019",40
"YG PLUS","실적2020",NA
"YTN","실적2017",56
"YTN","실적2018",52
"YTN","실적2019",51
"YTN","실적2020",NA
"YW","실적2017",44
"YW","실적2018",53
"YW","실적2019",57
"YW","실적2020",NA
"가비아","실적2017",33
"가비아","실적2018",32
"가비아","실적2019",48
"가비아","실적2020",NA
"가온미디어","실적2017",116
"가온미디어","실적2018",136
"가온미디어","실적2019",97
"가온미디어","실적2020",NA
"가온전선","실적2017",107
"가온전선","실적2018",102
"가온전선","실적2019",99
"가온전선","실적2020",NA
"감마누","실적2017",102
"감마누","실적2018",151
"감마누","실적2019",115
"감마누","실적2020",NA
"강남제비스코","실적2017",20
"강남제비스코","실적2018",19
"강남제비스코","실적2019",19
"강남제비스코","실적2020",NA
"강스템바이오텍","실적2017",96
"강스템바이오텍","실적2018",53
"강스템바이오텍","실적2019",65
"강스템바이오텍","실적2020",NA
"강원","실적2017",92
"강원","실적2018",86
"강원","실적2019",167
"강원","실적2020",NA
"강원랜드","실적2017",19
"강원랜드","실적2018",17
"강원랜드","실적2019",19
"강원랜드","실적2020",NA
"갤럭시아머니트리","실적2017",184
"갤럭시아머니트리","실적2018",175
"갤럭시아머니트리","실적2019",163
"갤럭시아머니트리","실적2020",NA
"갤럭시아에스엠","실적2017",23
"갤럭시아에스엠","실적2018",25
"갤럭시아에스엠","실적2019",29
"갤럭시아에스엠","실적2020",NA
"게임빌","실적2017",38
"게임빌","실적2018",45
"게임빌","실적2019",56
"게임빌","실적2020",NA
"경남바이오파마","실적2017",10
"경남바이오파마","실적2018",76
"경남바이오파마","실적2019",53
"경남바이오파마","실적2020",NA
"경남스틸","실적2017",82
"경남스틸","실적2018",67
"경남스틸","실적2019",62
"경남스틸","실적2020",NA
"경남제약","실적2017",252
"경남제약","실적2018",83
"경남제약","실적2019",21
"경남제약","실적2020",NA
"경남제약헬스케어","실적2017",267
